Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
HubMAP: A Spatially Resolved Molecular Atlas of Human Endothelium,phs002267.v3.p1,Sharna Tingle,NHGRI,,Jay Shendure,Released
HuBMAP: A 3-D Tissue Map of the Human Lymphatic System,phs002268.v1.p1,Sharna Tingle,NHGRI,,Mark Atkinson,Released
A New Pipeline to Predict and Confirm Tumor Neoantigens Predicts Better Response to Checkpoint Blockade,phs002269.v1.p1,Ian Fingerman,NCI DAC,,Nicholas Durham,Released
Very low tumor mutation burden identifies inflamed recurrent glioblastomas responsive to cancer immunotherapy,phs002270.v1.p1,Ling Wong,NINDS,,David Ashley,Released
HuBMAP Single-Cell Data from Human Tissues,phs002272.v2,Sharna Tingle,NHGRI,,Michael Snyder,Awaiting GPA's Approval
Analysis of recurrently protected genomic regions in urine cell-free DNA,phs002273.v1.p1,Freddie Pruitt,NCI DAC,,Muhammed Murtaza,Released
Gabriella Miller Kids First Pediatric Research Program in Pediatric T-cell Acute Lymphoblastic Leukemia,phs002276.v4.p1,Marcia Fournier,Kids First DAC,Yes,David Teachey,Released
Center for Common Disease Genomics (CCDG) - Cardiovascular: Harvard Gene-Diet Interaction in a Costa Rican Cohort,phs002282.v1.p1,Sharna Tingle,NHGRI,Yes,Ira Hall,Released
Selenium Chemoprevention: Benefits and Harms,phs002283.v2.p1,Claire Zhu,NCI DAC,,Elizabeth Jacobs,Released
A Phase I/II Trial of T Cell Receptor Gene Therapy Targeting HPV-16 E7 for HPV-Associated Cancers,phs002286.v1.p1,Kathleen Calzone,NCI DAC,,Christian Hinrichs,Released
Evolution of resistance in ER+ Breast Cancer,phs002287.v1.p1,Shannon Hughes,NCI DAC,,Andrea Bild,Released
Analysis of epigenomes and genome topology in colorectal cancer,phs002288.v1.p1,Ian Fingerman,NCI DAC,,Bradley Bernstein,Released
Yale SPORE in Skin Cancer Project 2,phs002289.v2.p1,Freddie Pruitt,NCI DAC,,Marcus Bosenberg,Released
Tumor fraction guided cell-free DNA profiling in metastatic cancer patients,phs002290.v1.p1,Freddie Pruitt,NCI DAC,,David Solit,Released
"MP2PRT: Genomic and molecular characterization of biomarkers associated with tumor angiogenesis, DNA repair, and immunologic tolerance using samples from the NRG Oncology Phase 3 Randomized Trial, GOG-0240 (NCT00803062)",phs002293.v1.p1,Grace Mishkin,NCI DAC,Yes,Krishnansu Tewari,Released
Chemoresistance in high grade serous ovarian cancer,phs002294.v1.p1,Shannon Hughes,NCI DAC,,Andrea Bild,Released
Cross-site concordance evaluation of tumor DNA and RNA sequencing platforms of CIMAC-CIDC network,phs002295.v1.p1,Freddie Pruitt,NCI DAC,,Catherine Wu,Released
Genome-wide association study of skin pigmentation in African Americans,phs002298.v1.p1,Sharna Tingle,NHGRI,,Rick Kittles,Released
Whole genome sequencing of skull-based chordoma,phs002301.v1.p1,Geoffrey Tobias,NCI DAC,,Xiaohong Yang,Released
PEDS-PLAN � Pediatric Precision Laboratory Advanced Neuroblastoma Therapy,phs002303.v2.p1,Ian Fingerman,NCI DAC,,Giselle Sholler,Released
Germline and Somatic Genetic Landscape of Pediatric Rhabdomyosarcoma,phs002304.v1.p1,Ian Fingerman,NCI DAC,,Philip Lupo,Released
Washington University PDX Development and Trial Center,phs002305.v1.p1,Grace Mishkin,NCI DAC,Yes,Li Ding,Released
CSER: South-Seq: DNA sequencing for newborn nurseries in the South,phs002307.v1.p1,Sharna Tingle,NHGRI,Yes,Gregory Cooper,Released
Identification and characterization of skin-resident memory T cells in patients with melanoma-associated vitiligo,phs002309.v2.p1,Ian Fingerman,NCI DAC,,Mary Jo Turk,Released
GATA2 Deficiency,phs002311.v1.p1,Kathleen Calzone,NCI DAC,,Dennis Hickstein,Released
Copy-number analysis of understudied black women ovarian cancers,phs002313.v1.p1,Freddie Pruitt,NCI DAC,,Joe Delaney,Released
Center for Integrated Cellular Analysis,phs002315.v1.p1,Sharna Tingle,NHGRI,,Rahul Satija,Released
Genetic underpinnings of ethnic disparities in bone toxicities between Hispanic and non-Hispanic children treated for acute lymphoblastic leukemia,phs002317.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Song Yao,Released
New England Bladder Cancer Study (NEBCS),phs002318.v1.p1,Geoffrey Tobias,NCI DAC,,Stella Koutros,Completed by GPA
Single cell DNA sequencing reveals complex mechanisms of resistance to quizartinib,phs002320.v1.p1,Ian Fingerman,NCI DAC,,Catherine Smith,Completed by GPA
Characterizing Advanced Breast Cancer Heterogeneity and Treatment Resistance through Serial Biopsies and Comprehensive Analytics,phs002321.v1.p1,Freddie Pruitt,NCI DAC,,Zahi Mitri,Released
Kids First: Genetics of Pediatric Germ Cell Tumors,phs002322.v3,Marcia Fournier,Kids First DAC,Yes,Jenny Poynter,Completed by GPA
Defining and overcoming intrinsic T cell dysfunction to enable pediatric immunotherapy,phs002323.v2.p1,Ian Fingerman,NCI DAC,,David Barrett,Released
"CSER: Genomic Sequencing to Aid Diagnosis in Pediatric and Prenatal Practice: Examining Clinical Utility, Ethical Implications, Payer Coverage, and Data Integration in a Diverse Population",phs002324.v3.p1,Sharna Tingle,NHGRI,Yes,Pui-Yan Kwok,Released
Center for Common Disease Genomics (CCDG) - Cardiovascular: BioImage Cohort,phs002325.v1.p1,Sharna Tingle,NHGRI,Yes,Nathan Stitziel,Released
Identification of genetic risk factors for familial urinary bladder cancer (UBC): exome sequencing of three multiplex pedigrees and a group of unrelated familial UBC patients,phs002326.v1.p1,Geoffrey Tobias,NCI DAC,,Douglas Stewart,Completed by GPA
Therapeutic targeting of ATR yields durable regressions in high replication stress tumors,phs002327.v1.p1,Kathleen Calzone,NCI DAC,,Anish Thomas,Released
"Kids First & INCLUDE: Down Syndrome, Heart Defects, and Acute Lymphoblastic Leukemia",phs002330.v3.p1,Valerie Cotton,Kids First DAC,Yes,Philip Lupo,Completed by GPA
Massively parallel single-cell RNA-sequencing of chronic rhinosinusitis nasal and sinus tissue,phs002333.v2.p1,Reed Shabman,NIAID,,Joshua Boyce,Completed by GPA
Genetic determinants of EGFR-Driven Lung Cancer Growth and Therapeutic Response In Vivo,phs002334.v1.p1,Freddie Pruitt,NCI DAC,,Katerina Politi,Released
Dana-Farber Cancer Institute (DFCI) Wu Lab/Avicenne CLL RNA-seq Study,phs002335.v1.p1,Freddie Pruitt,NCI DAC,,Catherine Wu,Released
CSER: Incorporating Genomics into the Clinical Care of Diverse NYC Children (NYCKidSeq),phs002337.v2.p1,Sharna Tingle,NHGRI,Yes,Eimear Kenny,Released
A multi-omic single-cell atlas of human gynecologic malignancies,phs002340.v1.p1,Freddie Pruitt,NCI DAC,,Hector Franco,Released
Optimized polyepitope neoantigen DNA vaccines elicit neoantigen-specific immune responses in preclinical models and in clinical translation,phs002342.v1.p1,Freddie Pruitt,NCI DAC,,William Gillanders,Released
Structure of the Mucosal and Stool Microbiome in Lynch Syndrome,phs002343.v1.p1,Ian Fingerman,NCI DAC,,Curtis Huttenhower,Released
Study of tumor recurrence related to the expression of the PAX3-FOXO1 oncogenic transcription factor in fusion-positive rhabdomyosarcoma,phs002344.v1.p1,Kathleen Calzone,NCI DAC,,Frederic Barr,Released
Breast Cancer genetic study in African ancestry populations,phs002345.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,Yes,Wei Zheng,Completed by GPA
Characterization of immune-related gene expression in lung cancer,phs002346.v1.p1,Geoffrey Tobias,NCI DAC,,Maria Teresa Landi,Released
PDAC prognosis biomarker in genomic and transcriptomic molecular data,phs002347.v1.p1,Ian Fingerman,NCI DAC,,Taesung Park,Released
Impact of FFPE processing parameters on RNA in situ hybridization,phs002350.v1,Grace Mishkin,NCI DAC,,Emily Park,Completed by GPA
Preanalytical Impacts on Protein Detection by HumanMap assay,phs002351.v1,Grace Mishkin,NCI DAC,,Troy Tremaine,Completed by GPA
Preanalytical impacts on protein stability by IHC evaluation,phs002352.v1,Grace Mishkin,NCI DAC,,Scott Jewell,Completed by GPA
FFPE DEMOD,phs002353.v1,Grace Mishkin,NCI DAC,,Susan Hester,Completed by GPA
Lineage plasticity and immune cell heterogeneity are coordinately dysregulated through changes in FOXA1 expression in bladder cancers with squamous differentiation,phs002357.v1.p1,Freddie Pruitt,NCI DAC,,Hikmat Al-Ahmadie,Released
Genomic Architecture of LGL leukemia,phs002359.v1.p1,Ian Fingerman,NCI DAC,,Thomas Loughran,Completed by GPA
NHLBI TOPMed: Genomics of Myelodysplastic Syndromes (MDS),phs002360.v1.p1,Hiromi Ono,NHLBI,,Matthew Walter,Completed by GPA
Derivation and investigation of the first human cell-based model of Beckwith-Wiedemann syndrome,phs002365.v1.p1,Mariam Eljanne,NCI DAC,,Jennifer Kalish,Released
Lung Cancer Genetic Study among Asian Never Smokers,phs002366.v2.p2,Emilie Charlisse Caga-Anan,NCI DAC,Yes,Qiuyin Cai,Released
"CaBagE: a Cas9-based Background Elimation Strategy for Targeted, Long-read DNA Sequencing",phs002368.v1.p1,Sharna Tingle,NHGRI,,Aaron Quinlan,Released
Human Tumor Atlas Network (HTAN),phs002371.v9.p2,Sean Hanlon,NCI DAC,Yes,Ethan Cerami,Released
Novel Approach to High-Throughput Identification and characterization of Neoantigens,phs002372.v1.p1,Freddie Pruitt,NCI DAC,,Magali Soumillon,Released
A Phase I/IB Study of Ipilimumab or Nivolumab in Patients With Relapsed Hematologic Malignancies After Allogeneic Hematopoietic Cell Transplantation,phs002377.v1.p1,Grace Mishkin,NCI DAC,,Catherine Wu,Released
CSER: Evaluating utility and improving implementation of genomic sequencing for pediatric cancer patients in the diverse population and healthcare settings of Texas: The KidsCanSeq Study,phs002378.v1.p1,Sharna Tingle,NHGRI,Yes,Sharon Plon,Released
Characterizing TP53 and PPM1D mutations as resistance drivers to radiation therapy in Diffuse Intrinsic Pontine Gliomas,phs002380.v1.p1,Freddie Pruitt,NCI DAC,,Rameen Beroukhim,Released
Center for Common Disease Genomics [CCDG] - Cardiovascular: InStem (The Institute for Stem Cell Science and Regenerative Medicine) Study,phs002384.v1.p1,Sharna Tingle,NHGRI,Yes,Amit Khera,Completed by GPA
Ghana Breast Health Study,phs002387.v2.p1,Geoffrey Tobias,NCI DAC,,Jonine Figueroa,Released
Genomic and transcriptomic markers associated with response to immune checkpoint blockade,phs002388.v1.p1,Ian Fingerman,NCI DAC,,Richard Chen,Released
"De novo Origination Patterns of the Malaria-resistant, Sickle-cell-anemia-causing Hemoglobin S Mutation",phs002391.v2.p1,Sharna Tingle,NHGRI,,Adi Livnat,Released
Chromatin accessibility landscape of human pancreatic ductal adenocarcinoma (PDAC),phs002394.v1.p1,Freddie Pruitt,NCI DAC,,Steven Leach,Released
Integrated Metabolic Profiling and Gene Expression Analysis Reveals Therapeutic Modalities in Breast Cancer,phs002396.v1.p1,Freddie Pruitt,NCI DAC,,Charles Perou,Released
Genomics of Prostate Cancer,phs002398.v1.p1,Ian Fingerman,NCI DAC,,David Einstein,Released
Count Me In - Esophageal and Stomach Cancer Project,phs002404.v1.p1,Freddie Pruitt,NCI DAC,Yes,Nikhil Wagle,Completed by GPA
Gene Variants in Pheochromocytoma and Paraganglioma,phs002405.v2.p1,John Ilekis,NICHD,,Karel Pacak,Released
A single cell atlas of MMRd and MMRp colorectal cancer,phs002407.v1.p1,Ian Fingerman,NCI DAC,,Nir Hacohen,Released
The Role of CTCF in the Organization of the Centromeric 11p15 Imprinted Domain Interactome,phs002408.v2.p1,Mariam Eljanne,NCI DAC,,Jennifer Kalish,Completed by GPA
Characterization of CNS Metastases,phs002416.v3.p1,Freddie Pruitt,NCI DAC,,Priscilla Brastianos,Completed by GPA
LKB1/STK11 is a tumor suppressor in the leukemic transformation of myeloproliferative neoplasms,phs002418.v1.p1,Freddie Pruitt,NCI DAC,,Raajit Rampal,Completed by GPA
Integrative molecular characterization of breast cancer,phs002419.v2.p1,Freddie Pruitt,NCI DAC,,Eliezer Van Allen,Released
Whole exome sequencing study of melanoma-prone families in Mediterranean populations,phs002420.v1.p1,Geoffrey Tobias,NCI DAC,,Maria Teresa Landi,Completed by GPA
ALT Neuroblastoma Chemoresistance due to ATM Activation by Telomere Dysfunction is Reversible with the ATM Inhibitor AZD0156,phs002421.v1.p1,Ian Fingerman,NCI DAC,,Patrick Reynolds,Released
Cellular Maturity Shifts and Highly Recurrent Gene Expression Changes Underlying Relapse in Adult Acute Myelogenous Leukemia,phs002426.v1.p1,Freddie Pruitt,NCI DAC,,Sami Malek,Completed by GPA
Discovery and verification of methylated circulating tumor DNA markers for the detection of colorectal cancer in subjects under 50 years of age,phs002427.v1.p1,Natalie Abrams,NCI DAC,,Megan Hitchins,Completed by GPA
UNC Tumor Donation Program Set 2021,phs002429.v1.p1,Freddie Pruitt,NCI DAC,,Charles Perou,Released
Childhood Cancer Data Initiative (CCDI): Integration of genomic and clinical data from unique rare solid tumor datasets to facilitate data sharing (Funded to UCSF),phs002430.v1.p1,Freddie Pruitt,NCI DAC,Yes,Alejandro Sweet-Cordero,Released
"Childhood Cancer Data Initiative (CCDI): Enhancement of Data Sharing in Pediatric, Adolescent and Young Adult Cancers (Funded to UMICH)",phs002431.v1.p1,Joseph Flores-Toro,NCI DAC,Yes,Rajen Mody,Released
Wistar PDX Development and Trial Center SPORE in Skin Cancer,phs002432.v1.p1,Grace Mishkin,NCI DAC,Yes,Meenhard Herlyn,Released
Mentored Patient Oriented Research in Lymphoma,phs002434.v1.p1,Mariam Eljanne,NCI DAC,,Christopher Flowers,Released
Development and validation of Patient-Derived Xenografts from Fibrolamellar Carcinoma human tissue,phs002435.v1.p1,Freddie Pruitt,NCI DAC,,Sanford Simon,Released
Transcriptome and Epigenome of TIL infusion for cancer immunotherapy,phs002436.v1.p1,Kathleen Calzone,NCI DAC,,Steven Rosenberg,Released
Metformin Hydrochloride in Preventing Oral Cancer in Patients With an Oral Premalignant Lesion,phs002437.v1.p1,Natalie Abrams,NCI DAC,,Scott Lippman,Released
Development and validation of Organoids from Fibrolamellar Carcinoma human cells,phs002439.v1.p1,Freddie Pruitt,NCI DAC,,Sanford Simon,Released
High-Throughput and High-Dimensional Single Cell Analysis of Antigen-Specific CD8+ T cells,phs002441.v1.p1,Freddie Pruitt,NCI DAC,,Ning Jiang,Released
Molecular signatures of DCIS to invasive progression for basal-like breast cancers: An integrated mouse model and human tumor study,phs002443.v1.p1,Freddie Pruitt,NCI DAC,,Charles Perou,Released
Germline Genetic Variants in Cancer-Susceptibility Genes in Patients With Osteosarcoma,phs002444.v1.p1,Geoffrey Tobias,NCI DAC,,Lisa Mirabello,Released
A Prospective Study of the Oral Microbiome and Pancreatic Cancer,phs002454.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Julie Palmer,Released
Comprehensive Analysis of the Immunogenomics of Triple Negative Breast Cancer Brain Metastases from LCCC1419,phs002457.v1.p1,Sean Hanlon,NCI DAC,,Benjamin Vincent,Released
Evolution of Chronic Lymphocytic Leukemia to Richter's Syndrome (RS),phs002458.v2.p1,Ian Fingerman,NCI DAC,,Catherine Wu,Released
Health Professional Follow-Up Study,phs002460.v2,Emilie Charlisse Caga-Anan,NCI DAC,,Lorelei Mucci,Completed by GPA
Circulating tumor cell heterogeneity in neuroendocrine prostate cancer by single cell copy number analysis,phs002462.v1.p1,Freddie Pruitt,NCI DAC,,Himisha Beltran,Released
Natural Genetic Variation in the Human Genome,phs002463.v1.p1,Sharna Tingle,NHGRI,,Scott Devine,Released
Massively Parallel Single-Cell RNA-Sequencing of Chronic Rhinosinusitis Polyp and Non-polyp Tissue,phs002466.v1.p1,Reed Shabman,NIAID,,Nora Barrett,Completed by GPA
A Polygenic Score for Acute Vaso-Occlusive Pain in Pediatric Sickle Cell Disease,phs002470.v1.p1,Hiromi Ono,NHLBI,,Gang Wu,Released
Single-cell RNA-sequencing identifies immune biomarkers of response to immunotherapy in patients with high-risk Smoldering Myeloma,phs002476.v3.p1,Ian Fingerman,NCI DAC,,Irene Ghobrial,Released
CEP128 Mutations Impair Spermatogenesis in Humans and Mice,phs002477.v1.p1,Sharna Tingle,NHGRI,,Ying Shen,Completed by GPA
HCI-PDX Trial Center for Breast Cancer Therapy,phs002479.v1.p1,Grace Mishkin,NCI DAC,Yes,Alana Welm,Released
Gene Expression Study of Individuals with Sex Chromosome Aneuploidies,phs002481.v6,Sharna Tingle,NHGRI,,David Page,Awaiting GPA's Approval
Combined targeting CDK4/6 and HER2 signaling in orthotopic patient-derived xenografts of HER2-positive breast cancer brain metastases,phs002482.v1.p1,Freddie Pruitt,NCI DAC,,Jean Zhao,Released
Nivolumab and Tumor Infiltrating Lymphocytes (TIL) in Advanced Non-Small Cell Lung Cancer,phs002486.v2.p1,Joseph Flores-Toro,NCI DAC,,John Cleveland,Released
Multiregional genetic evolution of metastatic uveal melanoma,phs002491.v1.p1,Freddie Pruitt,NCI DAC,,James Harbour,Completed by GPA
Germline whole-exome sequencing of lung cancer in EAGLE,phs002496.v1.p1,Geoffrey Tobias,NCI DAC,,Maria Teresa Landi,Released
CIDR: Whole Exome Sequencing of Multiple Myeloma,phs002497.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Vijai Joseph,Completed by GPA
Integrative Genomic and Transcriptomic Analyses of Refractory Multiple Myeloma,phs002498.v1.p1,Ian Fingerman,NCI DAC,,Arul Chinnaiyan,Released
"GWA Study of Oral Cavity, Pharynx and Larynx Cancers in European, and North and South American Populations - CIDR",phs002503.v1.p1,Alicia Chou,NIDCR,,Shama Virani,Released
Childhood Cancer Data Initiative (CCDI): Integration of genomic and clinical data from unique rare hematopoietic caner datasets to facilitate data sharing (Funded to UCSF),phs002504.v3.p2,Freddie Pruitt,NCI DAC,Yes,Elliot Stieglitz,Released
CPTAC: Molecular dissection of chemotherapy response in triple negative breast cancer,phs002505.v1.p1,Sean Hanlon,NCI DAC,,Matthew Ellis,Released
Center for Common Disease Genomics [CCDG] Neuropsychiatric: Genomics of Autism Spectrum Disorder (GASD),phs002509.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Released
Center for Common Disease Genomics [CCDG] - Neuropsychiatric: SPARK Simons Foundation Powering Autism Research for Knowledge,phs002511.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Released
Center for Common Disease Genomics [CCDG] - Neuropsychiatric: Simons Searchlight,phs002512.v1.p1,Sharna Tingle,NHGRI,Yes,Thomas Maniatis,Released
Mutational landscape of MCPyV-positive and MCPyV-negative Merkel cell carcinomas,phs002515.v1.p1,Ian Fingerman,NCI DAC,,Jaehyuk Choi,Released
Rapid Acceleration of Diagnostics - Digital Health (RADx-DH): NIH Digital Health Solutions for COVID-19,phs002516.v1.p1,Shu Hui Chen,RADx,Yes,Teresa Gibson,Released
Childhood Cancer Data Initiative (CCDI): Integration of genomic and clinical data from unique rare cancer datasets to facilitate data sharing (Funded to UPenn/CHOP),phs002517.v5,Joseph Flores-Toro,NCI DAC,Yes,Adam Resnick,Completed by GPA
"Childhood Cancer Data Initiative (CCDI): Administrative Supplements for the NCI P30 Cancer Center Support Grants to Enhance Data Sharing in Pediatric, Adolescent, and Young Adult Cancers (Funded to USC)",phs002518.v1.p1,Joseph Flores-Toro,NCI DAC,Yes,Amie Hwang,Released
Rapid Acceleration of Diagnostics - Digital Health (RADx-DH): Covidseeker and COVID-19 Citizen Science: Leveraging Citizen Science and Real-Time Geospatial Temporal Mobile Data for Digital Contact Tracing and SARS-CoV-2 Hotspotting,phs002519.v1.p1,Shu Hui Chen,RADx,Yes,Yulin Hswen,Released
Childhood Cancer Data Initiative (CCDI): Free the Data: Open Sharing of Comprehensive Genomic Childhood Cancer Datasets (Funded to Kansas),phs002529.v2.p1,Freddie Pruitt,NCI DAC,Yes,Midhat Farooqi,Released
