dataset_title,description,dbGaP_phs,dbGaP_URL,PI_name,GPA,dataset_doc,dataset_pmid,funding_source,release_date,limitations_for_reuse,assay_method,study_type,primary_disease,participant_count,sample_count,study_links,related_genes,related_diseases,related_terms
Genomic Characterization CS-MATCH-0007 Arm R,The CS-MATCH-0007 protocol is part of a collaboration between the Center for Cancer Genomics (CCG) and the Division of Cancer Treatment and Diagnosis (DCTD) to perform whole-exome sequencing and RNA  sequencing using pre-and post-treatment tumor biopsy specimens from patients enrolled on a treatment arm of the NCI-MATCH Clinical Trial (EAY131).,phs002029.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002029,"Lyndsay Harris, MD",Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),33048619;31922567;31924734;37322121,Division of Cancer Treatment and Diagnosis,2024-01-08,GRU-COL,,Cohort;Exome Sequencing;RNA Sequencing,Neoplasms,28.0,28.0,https://www.cancer.gov/about-cancer/treatment/clinical-trials/nci-supported/nci-match,BRAF,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies
Transcriptomic and Epigenetic Profiling of SCLC Patient Samples,Small cell lung cancer (SCLC) is an aggressive disease with poor outcomes and limited treatment options. Recent studies have identified transcriptionally defined subsets of SCLC that may allow for the  personalization of treatment. Here we use transcriptomic sequencing and methylation profiling (RRBS) of biopsy and cfDNA to develop a highly accurate,phs003416.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003416,"Lauren A. Byers, MD;John V. Heymach, MD PhD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,U01-CA256780;P50-CA070907;U01-CA213273;P30-CA016672;R50-CA243698;R01-CA207295;R50-CA265307;CA217450;CA224276;CA233259,2023-12-28,GRU,RNA-Seq;Bisulfite-Seq,Epigenetics;Transcriptome Sequencing,Small Cell Lung Carcinoma,181.0,344.0,,,,"Carcinoma, Small Cell Lung; Lung Small Cell Neuroendocrine Carcinoma; Lung oat cell carcinoma; Oat Cell Carcinoma of Lung; Oat Cell Lung Cancer; SCCL"
Childhood Cancer Data Initiative (CCDI): Genomic Analysis in Pediatric    Malignancies,"Pediatric solid tumors are highly heterogeneous, encompassing a large number of histotypes. The genomic landscape of these diseases is characterized by few single-nucleotide variants (SNVs) compared to adult cancers. In  contrast, many exhibit a high prevalence of structural or epigenetic changes that alter gene expression, underlining the need for comprehensive",phs002430.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002430,"Alejandro Sweet-Cordero, MD",Freddie Pruitt,Center for Cancer Genomics (CCG),30266815;37703185,,2023-12-27,GRU,,Clinical Genetic Testing;Full Transcriptome Sequencing;Individual-Level Genomic Data;Longitudinal;RNA Sequencing;Tumor vs. Matched-Normal;Whole Genome Sequencing,Pediatrics,239.0,500.0,,BRAF;MYC;RB1;TP53,Whole Transcriptome Sequencing;Whole Genome Sequencing;Neoplasms/Genetics;Genetic Testing;Tumor Xenograft Assay;Neuroblastoma;Rare Disease;Neoplasms;Osteosarcoma,Rare Disease; Blastoma; CA; CA - Cancer; Cancer; MT
Integrative Somatic and Germline Computational Biology to Redefine    Clinical Actionability in Solid Tumors,"Neuroendocrine tumors (NETs) are rare cancers that arise in the gastrointestinal tract and pancreas. The fundamental mechanisms driving gastroenteropancreatic NETs (GEP-NETs) growth remain incompletely elucidated; however, the heterogeneous clinical behavior  of GEP-NETs suggests that both cellular lineage dynamics and tumor microenvironment influence tumor pathophysiology. Here, we performed single-cell",phs003141.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003141,"Eliezer Van Allen, MD",Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,R01CA227388;U01CA233100,2023-12-21,HMB,RNA-Seq,Case Set;Single Cell Analysis,Gastro-enteropancreatic neuroendocrine tumor,8.0,8.0,,,Pancreatic Neoplasms;Carcinoid Tumor;Neuroendocrine Tumors;Stomach Neoplasms;Intestinal Neoplasms,Carcinoid Tumor; Intestinal Neoplasms; Neuroendocrine Tumors; Carcinoid; Carcinoid tumor (disease); Carcinoid tumors
A Phase I Study With a Personalized Neoantigen Cancer Vaccine in    Glioblastoma Multiforme,"Neoantigens, which are derived from tumor-specific protein-coding gene mutations, are exempt from central tolerance, can generate robust immune responses and function as bona fide antigens that facilitate tumor rejection. A  strategy of using multi-epitope and personalized neoantigen vaccination has previously been tested in patients with high-risk melanoma. We",phs001519.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001519,David Reardon,Ian Fingerman,Division of Cancer Biology (DCB),30568305;34663921,,2023-12-20,HMB;GRU,RNA-Seq;WXS;OTHER,Case Set;Clinical Trial,Glioblastoma,11.0,33.0,,,,"Astrocytoma, Grade IV; Astrocytomas, Grade IV; GBM; GBM (glioblastoma); Giant cell glioblastoma (histologic variant); Glioblastoma multiforme"
Translating Gene-Calcium Interactions to Precision Medicine for    Colorectal Cancer,"Identify functional and rare SNPs and their interactions with Ca intake levels in relation to risk of incident adenoma using whole-exome resequencing of 2468 colorectal adenoma cases and controls from  PLCO. We will genotype promising rare and functional SNPs associated with incident adenoma in 570 incident cancer cases, 1,710 healthy controls, 710",phs002164.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002164,"Qi Dai, PhD;Todd Edwards, PhD",Claire Zhu,Division of Cancer Prevention (DCP),,,2023-12-19,GRU,Seq_DNA_SNP_CNV,Case-Control;Exome Sequencing;Individual-Level Genomic Data,Colorectal Adenoma,2269.0,2269.0,,,,Not Provided
Genomics and Methylation of Neuroendocrine Prostate Cancer from cfDNA    (Cornell/Trento 2019),A subset of castration resistant prostate cancers develop small cell neuroendocrine prostate cancer (NEPC) as a mechanism of treatment resistance. Metastatic tissue biopsies to evaluate for NEPC transformation are invasive  and challenging to perform serially. We performed whole exome and whole genome bisulfite sequencing of plasma cfDNA and matched tumor biopsy samples,phs001752.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001752,Himisha Beltran;Francesca Demichelis,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),26855148;22389870;26537258,National Cancer Institute SPORE P50-CA211024;ERC Consolidator Grant 648670;Department of Defense PCRP W81XWH-13-1,2023-12-18,HMB-IRB,WXS;Bisulfite-Seq,Cohort,Adenocarcinoma,65.0,185.0,,,Prostatic Neoplasms;Neuroendocrine tumors,"Neuroendocrine Tumors; ADNOS; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant; Malignant Adenoma"
"Breast Cancer in Blacks: Impact of Genomics, Healthcare Use and Lifestyle    on Outcomes (BRIGHT)",Young Black females bear a disproportionate burden of breast cancer (BC) mortality compared to White females and are underrepresented in clinical studies. It remains critical to understand factors that contribute  to the high mortality from BC among young Black females in order to improve outcomes. The higher BC mortality rate among young Black females with,phs003466.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003466,"Tuya Pal, MD, FACMG",Emilie Charlisse Caga-Anan,Division of Cancer Control and Population Sciences (DCCPS),,,2023-12-15,DS-BRCA-GSO,Array_mRNA_Expression;Array_SNP,Individual-Level Genomic Data;Longitudinal Cohort,Breast Neoplasms,378.0,481.0,,,Genetics,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer
Single-Cell Genomic Analysis of Gastrointestinal Cancer,"Our study aimed to define the heterogeneity of gastrointestinal cancers at a single-cell resolution. We subjected single-cell suspensions derived from surgical resections of gastrointestinal cancer tissue, paired normal tissue, peripheral  blood mononuclear cells (PBMCs) or their ex vivo cultures to high-throughput microfluidics based single-cell RNA and DNA sequencing. We analyzed the",phs001818.v4.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001818,Hanlee Ji,,,32060101;31829268;36239989,NCI U01CA217875,2023-12-11,HMB,OTHER;WGS,Case Set,Stomach Neoplasms,40.0,136.0,,,Metaplasia;Colorectal Neoplasms;Appendiceal cancer,Appendiceal Cancer; Metaplasia; Appendiceal Neoplasm; Appendiceal Neoplasms; Appendiceal tumor; Appendix Tumor
Evolution of Chronic Lymphocytic Leukemia to Richter's Syndrome (RS),"Richter's syndrome arising from chronic lymphocytic leukemia is a striking example of an aggressive malignant histology that emerges from indolent cancer. To understand this process, we reconstructed phylogenies based on  whole exome sequencing of matched normal, CLL and RS samples. We computationally deconvoluted CLL and RS clones and identified drivers of",phs002458.v2.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002458,Catherine Wu,Ian Fingerman,Division of Cancer Biology (DCB),,;P01- NCI,2023-12-05,DS-HM-MDS;HMB;GRU,RNA-Seq;WXS;WGS,Longitudinal,"Leukemia, Lymphocytic, Chronic, B-Cell",133.0,384.0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163579,,"Cell Transformation, Neoplastic","Cell Transformation, Neoplastic; Cell Neoplastic Transformation; Cell Neoplastic Transformations; Cell Transformations, Neoplastic; Neoplastic Cell Transformations; Neoplastic Transformation, Cell"
CALGB/SWOG 80405: Genome-Wide Association Study of Patients with Advanced    or Metastatic Colorectal Cancer Treated with First-Line Chemotherapy    Combined with Cetuximab and/or Bevacizumab,"CALGB/SWOG 80405 (NCT00265850) was a randomized phase III study of bevacizumab, cetuximab, or the combination of these two monoclonal antibodies, in addition to systemic chemotherapy for patients with untreated metastatic  adenocarcinoma of the colon or rectum. We prospectively collected germline DNA and conducted genome-wide association studies using clinical outcomes",phs003428.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003428,Kouros Owzar,Grace Mishkin,Division of Cancer Treatment and Diagnosis (DCTD),28632865;29871907;32958699;34965954;34528705,,2023-12-04,DS-CA-COL,Seq_DNA_SNP,eQTL;GWAS;Multicenter;Phase III;Randomized Controlled Clinical Trial,Colorectal Neoplasms,1464.0,1464.0,,,Adenocarcinoma;Neoplasm Metastasis;Survival Analysis,"Adenocarcinoma; Neoplasm Metastasis; ADNOS; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant"
Cryptic Splice Mutation in the Fumarate Hydratase Gene in Patients With    Clinical Manifestations of Hereditary Leiomyomatosis and Renal Cell    Cancer (HLRCC),"Four patients with hysterectomy were evaluated for biochemical and molecular evidence of autosomal dominant Fumarate Hydratase (FH) alterations causing Hereditary Leiomyomatosis and Renal Cell Cancer (HLRCC). HLRCC is an autosomal  dominant condition characterized by the development of cutaneous and uterine leiomyomas, and risk for development of an aggressive form of papillary",phs003381.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003381,"W. Marston Linehan, MD",Abid Al Reza,Center for Cancer Research (CCR),,,2023-12-04,GRU,Seq_DNA_SNP_CNV;WGS,Case Set,Hereditary leiomyomatosis and renal cell cancer,4.0,4.0,https://www.ncbi.nlm.nih.gov/clinvar/RCV001553262/,FH,Fumarate Hydratase,Cutaneous leiomyomata with uterine leiomyomata; FH Deficiency; Familial leiomyomatosis; Familial leiomyomatosis and renal cell cancer; Familial leiomyomatosis cutis et uteri; Familial leiomyomatosis with renal carcinoma
Single Duplex DNA Sequencing with CODEC Detects Mutations with High    Sensitivity,"Detecting mutations from single DNA molecules is crucial in many fields but challenging. Next generation sequencing (NGS) affords tremendous throughput but cannot directly sequence double-stranded DNA molecules (single duplexes) to  discern the true mutations on both strands. Here, we present Concatenating Original Duplex for Error Correction (CODEC) which confers single duplex",phs003255.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003255,Viktor Adalsteinsson,Nathaniel Boyd,Office of Data Sharing (ODS),37106072,,2023-12-04,HMB-IRB;NRUP;HMB;GRU,Targeted-Capture;WGS,Case-Control;Clinical Cohort;Sequencing,Neoplasms,8.0,30.0,,,Breast Neoplasms;Colonic Neoplasms,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer
KRT17High/CXCL8+ Tumor Cells Display Both Classical and Basal Features    and Regulate Myeloid Infiltration in the Pancreatic Cancer    Microenvironment,Recent studies have uncovered the co-existence of basal and classical subtypes within pancreatic ductal adenocarcinoma (PDAC). We sought to characterize these intermediary cells using single-cell RNA sequencing of PDAC. We  performed subtyping on 18 single-cell RNA sequencing human PDAC samples to identify multiple intermediary subtypes. We compared single-cell profiling,phs003436.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003436,"Marina Pasca di Magliano, PhD",Justin Benavidez,Division of Cancer Biology (DCB),37851080,R01-CA268426;R01-CA260752;R01-CA271510;U01- CA264843;U01-CA274154;U54CA274371,2023-11-30,DS-PACA,RNA-Seq,Observational,"Carcinoma, Pancreatic Ductal",6.0,6.0,,KRT17;CXCL8;CLDN18,Single-Cell Analysis;Myeloid Cells,"Carcinoma, Ductal, Pancreatic; Carcinoma, Pancreas Duct-Cell; Carcinomas, Pancreas Duct-Cell; Carcinomas, Pancreatic Ductal; Duct Cell Carcinoma of the Pancreas; Duct Cell Carcinoma, Pancreas"
Temporal Evolution Reveals Bifurcated Lineages in Aggressive    Neuroendocrine Small Cell Prostate Cancer Trans-Differentiation,"Trans-differentiation from adenocarcinoma to small cell neuroendocrine (SCN) cancer is an adverse consequence of treatment escape in various cancers, including prostate, lung, and bladder cancers (Balanis and Sheu et al.,  2019 Cancer Cell). Expression of dominant negative p53 (TP53DN), myrAkt1, RB1-shRNA, c-Myc, and Bcl2(PARCB forward transformation) using human",phs003230.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003230,Thomas Graeber;Owen Witte,Ian Fingerman,Division of Cancer Biology (DCB),30287662;31287989;31871155,,2023-11-27,GRU,ATAC-seq;Seq_RNA_Expression_SC;OTHER;RNA-Seq;ChIP-Seq;Seq_RNA_Expression,Longitudinal;RNA Sequencing;Sequencing;Single Cell Analysis;Transcriptome Analysis;Transcriptome Sequencing;Xenograft,"Carcinoma, Neuroendocrine",11.0,66.0,,,"Carcinoma, Small Cell;Prostatic Neoplasms;ASCL1 protein, human;ASCL2 protein, human;TFAP4 protein, human;POU2F3 protein, human","Carcinoma, Small Cell; Carcinoma, Oat Cell; Carcinomas, Oat Cell; Carcinomas, Small Cell; Oat Cell Carcinoma; Oat Cell Carcinomas"
Altered Interactions between Circulating and Tissue-Resident CD8 T Cells    with the Colonic Mucosa Define Checkpoint Inhibitor Colitis,"Therapeutic immune checkpoint blockade has revolutionized oncology, but treatments are limited by immune-related adverse events, including checkpoint inhibitor colitis (irColitis). To define molecular drivers of irColitis, we profiled 300,000 cells  from the colonic mucosa and blood of 29 patients and controls. Patients with irColitis showed expanded mucosal Tregs (regulatory T cells), CD8",phs003418.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003418,Alexandra-Chloe Villani,Tamara Walton,Division of Cancer Treatment and Diagnosis (DCTD),,,2023-11-21,GRU,RNA-Seq,Case-Control;RNA Sequencing;Single Cell Analysis;Transcriptome Analysis,Colitis,33.0,171.0,,,,
Genomic Characterization of Duke Melanoma Brain Metastases,"Previous work has shown that melanoma brain metastases (MBM) have a unique molecular profile compared to extracranial metastases (ECM). Description of the biology of MBM and associations between biological features  and clinical outcomes will facilitate the design of rational therapies for patients with MBM. To better characterize the molecular profile of MBM, we",phs003009.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003009,,Freddie Pruitt,Center for Cancer Genomics (CCG),30787016,"Duke Cancer Institute Cancer Center Support Grant (P30-CA014236-47);Translating Duke Health Initiative, Duke University School of Medicine",2023-11-21,GRU-NPU,RNA-Seq;WXS,Case Set;Exome Sequencing;Metastasis;RNA Sequencing;Tumor;Tumor vs. Matched-Normal,Brain Neoplasms,14.0,43.0,,,"Melanoma;Exome Sequencing;Sequencing Analysis, RNA;Tumor Microenvironment",Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain; Neoplasm of the Brain
Genetic Analysis of Latin American Cervical Cancer,HPV16 is the most oncogenic type of human papillomaviruses (HPV). Integration of HPV into the human genome is an important mechanism of carcinogenesis but is absent in at least 30%  of HPV16+ tumors. We applied long-read whole-genome sequencing (WGS) to cervical cancer cell lines and tumors to characterize HPV16 carcinogenesis in,phs002810.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002810,Michael Dean,Geoffrey Tobias,Division of Cancer Epidemiology and Genetics (DCEG),36971511,,2023-11-21,HMB-NPU,WGS,Case Set,Uterine Cervical Neoplasms,58.0,58.0,,,,"Cervical Neoplasm, Uterine; Cervical Neoplasms; Cervical Tumor; Cervical neoplasm; Cervix Neoplasm; Cervix Neoplasms"
Retinoblastoma Aqueous Humor Liquid Biopsy Repository,"This study involves the use of the aqueous humor (AH, the clear fluid in the front of the eye) as an organ specific liquid biopsy for retinoblastoma. This relatively new  liquid biopsy platform was started at CHLA/USC and was developed to overcome the lack of tumor tissue -- due to contraindication to biopsy -- for",phs003077.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003077,"Jesse L. Berry, MD",Mariam Eljanne,Center for Cancer Training (CCT),29049475;30061186;31019846;31767439;32434859;32799607;33062393;33805776;34283049;34316014;34570090;36130950,,2023-11-20,DS-RET-DIS-IRB-PUB-COL-NPU,WGS,Clinical Cohort,Retinoblastoma,81.0,264.0,https://clinicaltrials.gov/ct2/show/NCT04959097?term=aqueous&cond=Retinoblastoma&draw=2&rank=1,RB1,Aqueous Humor;Retinal Neoplasms,"Retinal Neoplasms; Cancer of the Retina; Cancer, Retinal; Cancers, Retinal; Malignant Neoplasm of Retina; Malignant Neoplasm of the Retina"
